id,nombre,apellido,email,password,rol,activo
1,Elena,Fernandez,usuario1@ejemplo.com,7c6a180b36896a0a8c02787eeafb0e4c,,True
2,Carlos,Rodriguez,usuario2@ejemplo.com,6cb75f652a9b52798eb6cf2201057c73,,True
3,Carlos,Gomez,usuario3@ejemplo.com,819b0643d6b89dc9b579fdfc9094f28e,estudiante,True
4,Ana,Torres,usuario4@ejemplo.com,34cc93ece0ba9e3f6f235d4af979b16c,estudiante,False
5,Juan,Torres,usuario5@ejemplo.com,db0edd04aaac4506f7edab03ac855d56,,True
6,Maria,Fernandez,usuario6@ejemplo.com,218dd27aebeccecae69ad8408d9a36bf,,True
7,Juan,Perez,usuario7@ejemplo.com,00cdb7bb942cf6b290ceb97d6aca64a3,estudiante,True
8,Carlos,Fernandez,usuario8@ejemplo.com,b25ef06be3b6948c0bc431da46c2c738,estudiante,False
9,Pedro,Diaz,usuario9@ejemplo.com,5d69dd95ac183c9643780ed7027d128a,estudiante,True
10,Carlos,Torres,usuario10@ejemplo.com,87e897e3b54a405da144968b2ca19b45,,False
11,Maria,Diaz,usuario11@ejemplo.com,1e5c2776cf544e213c3d279c40719643,,False
12,Juan,Diaz,usuario12@ejemplo.com,c24a542f884e144451f9063b79e7994e,estudiante,True
13,Carlos,Torres,usuario13@ejemplo.com,ee684912c7e588d03ccb40f17ed080c9,estudiante,True
14,Pedro,Fernandez,usuario14@ejemplo.com,8ee736784ce419bd16554ed5677ff35b,estudiante,False
15,,Sanchez,usuario15@ejemplo.com,9141fea0574f83e190ab7479d516630d,estudiante,True
16,Elena,Torres,usuario16@ejemplo.com,2b40aaa979727c43411c305540bbed50,profesor,True
17,Ana,Fernandez,usuario17@ejemplo.com,a63f9709abc75bf8bd8f6e1ba9992573,estudiante,True
18,Carlos,Gomez,usuario18@ejemplo.com,80b8bdceb474b5127b6aca386bb8ce14,estudiante,True
19,Luis,Fernandez,usuario19@ejemplo.com,e532ae6f28f4c2be70b500d3d34724eb,,True
20,Carlos,Rodriguez,usuario20@ejemplo.com,aee67d9bb569ad1562f7b67cfccbd2ef,estudiante,True
21,Pedro,Diaz,usuario21@ejemplo.com,568c31f0f2406ab70255a1d83291220f,estudiante,True
22,Carlos,,usuario22@ejemplo.com,069103d83d40b742a336dee5fb92f4e5,,False
23,Maria,Gomez,usuario23@ejemplo.com,1f82cdf9195b31244721c6026587fb78,profesor,True
24,Lucia,Torres,usuario24@ejemplo.com,58bad6b697dff48f4927941962f23e90,estudiante,True
25,Lucia,Rodriguez,usuario25@ejemplo.com,6982e82c0b21af5526754d83df2d1635,estudiante,True
26,Elena,Rodriguez,usuario26@ejemplo.com,dc2d937cba912f093445d008f0461c83,estudiante,True
27,Maria,Sanchez,usuario27@ejemplo.com,ccf08fd9a560b266470bf8ab97fc7c26,estudiante,False
28,Maria,Gomez,usuario28@ejemplo.com,3b635d4df2c9ece93b97759531d6ed01,profesor,True
29,Lucia,Perez,usuario29@ejemplo.com,926742e502de7d22686bb1d4a07fe635,estudiante,False
30,Maria,Diaz,usuario30@ejemplo.com,3dc94727dbba08bdd21d7b318b410600,estudiante,True
31,Luis,Perez,usuario31@ejemplo.com,0c75f443030c092d82b67ef876fa4e4e,profesor,True
32,Carlos,Perez,usuario32@ejemplo.com,f849618fac31084ff0bafe6f877562e3,,False
